2019-03-04 12:23:50, E:\PES\TEST\video\V0801\47257.avi, 2019-03-04 12:24:03, 25252, 2019-03-04 12:24:05
2019-03-04 12:24:06, E:\PES\TEST\video\V0801\375133.avi, 2019-03-04 12:24:28, 372617, 2019-03-04 12:24:29
2019-03-04 12:24:30, E:\PES\TEST\video\V0801\169520.avi, 2019-03-04 12:25:02, 173372, 2019-03-04 12:25:03
2019-03-04 12:25:05, E:\PES\TEST\video\V0801\46150.avi, 2019-03-04 12:25:15, 24487, 2019-03-04 12:25:15
2019-03-04 12:25:16, E:\PES\TEST\video\V0801\47360.avi, 2019-03-04 12:25:26, 24615, 2019-03-04 12:25:28
2019-03-04 12:25:30, E:\PES\TEST\video\V0801\178320.avi, 2019-03-04 12:25:46, 174320, 2019-03-04 12:25:47
2019-03-04 12:25:48, E:\PES\TEST\video\V0801\121739.avi, 2019-03-04 12:26:04, 24217, 2019-03-04 12:26:04
2019-03-04 12:26:05, E:\PES\TEST\video\V0801\169511.avi, 2019-03-04 12:26:42, 173363, 2019-03-04 12:26:42
2019-03-04 12:26:45, E:\PES\TEST\video\V0801\45998.avi, 2019-03-04 12:26:52, 24291, 2019-03-04 12:26:53
2019-03-04 12:26:54, E:\PES\TEST\video\V0801\121850.avi, 2019-03-04 12:27:05, 25445, 2019-03-04 12:27:05
2019-03-04 12:27:06, E:\PES\TEST\video\V0801\46226.avi, 2019-03-04 12:27:16, 24643, 2019-03-04 12:27:17
2019-03-04 12:27:18, E:\PES\TEST\video\V0801\47381.avi, 2019-03-04 12:27:33, 24455, 2019-03-04 12:27:35
2019-03-04 12:27:35, E:\PES\TEST\video\V0801\46032.avi, 2019-03-04 12:27:44, 24139, 2019-03-04 12:27:46
2019-03-04 12:27:46, E:\PES\TEST\video\V0801\46406.avi, 2019-03-04 12:27:58, 25679, 2019-03-04 12:28:00
2019-03-04 12:28:01, E:\PES\TEST\video\V0801\46595.avi, 2019-03-04 12:28:12, 25183, 2019-03-04 12:28:12
2019-03-04 12:28:13, E:\PES\TEST\video\V0801\121880.avi, 2019-03-04 12:28:35, 24248, 2019-03-04 12:28:36
2019-03-04 12:28:37, E:\PES\TEST\video\V0801\46643.avi, 2019-03-04 12:28:46, 24226, 2019-03-04 12:28:46
2019-03-04 12:28:47, E:\PES\TEST\video\V0801\178378.avi, 2019-03-04 12:29:00, 174379, 2019-03-04 12:29:00
2019-03-04 12:29:00, E:\PES\TEST\video\V0801\47088.avi, 2019-03-04 12:29:10, 24258, 2019-03-04 12:29:11
2019-03-04 12:29:12, E:\PES\TEST\video\V0801\46271.avi, 2019-03-04 12:29:24, 24345, 2019-03-04 12:29:24
2019-03-04 12:29:24, E:\PES\TEST\video\V0801\46375.avi, 2019-03-04 12:29:35, 24660, 2019-03-04 12:29:36
2019-03-04 12:29:36, E:\PES\TEST\video\V0801\375112.avi, 2019-03-04 12:29:49, 372596, 2019-03-04 12:29:51
2019-03-04 12:29:52, E:\PES\TEST\video\V0801\375169.avi, 2019-03-04 12:30:19, 372653, 2019-03-04 12:30:20
2019-03-04 12:30:20, E:\PES\TEST\video\V0801\47363.avi, 2019-03-04 12:30:29, 24758, 2019-03-04 12:30:31
2019-03-04 12:30:32, E:\PES\TEST\video\V0801\47179.avi, 2019-03-04 12:30:42, 25589, 2019-03-04 12:30:44
2019-03-04 12:30:46, E:\PES\TEST\video\V0801\121049.avi, 2019-03-04 12:31:16, 25417, 2019-03-04 12:31:17
2019-03-04 12:31:19, E:\PES\TEST\video\V0801\121291.avi, 2019-03-04 12:31:27, 25364, 2019-03-04 12:31:29
2019-03-04 12:31:30, E:\PES\TEST\video\V0801\121429.avi, 2019-03-04 12:31:39, 25371, 2019-03-04 12:31:40
2019-03-04 12:31:40, E:\PES\TEST\video\V0801\46103.avi, 2019-03-04 12:31:52, 24937, 2019-03-04 12:31:52
2019-03-04 12:31:52, E:\PES\TEST\video\V0801\47296.avi, 2019-03-04 12:32:10, 25260, 2019-03-04 12:32:11
2019-03-04 12:32:11, E:\PES\TEST\video\V0801\121234.avi, 2019-03-04 12:32:21, 25097, 2019-03-04 12:32:22
2019-03-04 12:32:22, E:\PES\TEST\video\V0801\46257.avi, 2019-03-04 12:32:42, 24647, 2019-03-04 12:32:42
2019-03-04 12:32:43, E:\PES\TEST\video\V0801\121580.avi, 2019-03-04 12:32:53, 24816, 2019-03-04 12:32:54
2019-03-04 12:32:54, E:\PES\TEST\video\V0801\375165.avi, 2019-03-04 12:33:04, 372649, 2019-03-04 12:33:06
2019-03-04 12:33:07, E:\PES\TEST\video\V0801\375196.avi, 2019-03-04 12:33:27, 372680, 2019-03-04 12:33:27
2019-03-04 12:33:28, E:\PES\TEST\video\V0801\178366.avi, 2019-03-04 12:33:58, 174366, 2019-03-04 12:33:58
2019-03-04 12:34:00, E:\PES\TEST\video\V0801\375134.avi, 2019-03-04 12:34:18, 372618, 2019-03-04 12:34:20
